,coord_x,coord_y,Step 0,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,Step 11,Step 12,Step 13,Step 14,Step 15,Step 16,Step 17,Step 18,Step 19,Step 20,Step 21,Step 22,Step 23,Step 24,Step 25,Step 26,Step 27,Step 28,Step 29,Step 30,Step 31,Step 32,Step 33,Step 34,Step 35,Step 36,Step 37,Step 38,Step 39,Step 40,Step 41,Step 42,Step 43,Step 44,Step 45,Step 46,Step 47,Step 48,Step 49
201963537#1,1675.2334848484898,477.8688888888573,0,0,0,0,0,2,0,1,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,4,0,3,3,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1
24599188#0.94,1910.1254545454576,730.0607070707483,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4
-18809673#1.275,411.7843181818025,230.06638888892485,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,2,0,0,0,0,1,0,0,2,0,0,2,0,0,0,3,3,0,1,0,0,1,0,0,0
:292572192_2,1430.5868181818223,1930.8238888888736,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
:89127267_2,1898.5978181817918,2049.684888888849,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:cluster_1840209252_292578437_1,1677.4098181818263,1556.0788888888783,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
201950263#7,1512.328961038962,2317.9331746032112,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-24608846#0,2148.2618181818107,1297.1138888889109,0,0,0,0,0,1,0,0,2,0,3,5,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,4,0,1,1,0,1,0,1
315358242#1,1986.2868181818048,1763.318888888869,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
-286646456#2,666.311818181799,1870.972222222248,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0
-174800513,1493.5668181818037,1498.2388888889109,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,3,0,0,1,0,0,0,0,2,0,3,0,0,3,0,4,0,0,2,0,3,3,1,2,0,0,0,1,0,0,0,1,0,0,1
-160314345#2,1825.7884848484828,1336.0522222222062,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
:267783934_0,829.7558181818167,873.3108888889547,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-24634414#1,1852.326818181813,1438.0188888888806,0,0,0,0,0,1,0,0,0,0,2,0,2,4,2,3,1,0,1,1,7,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,5,4,6,3,3,7
22724699#2,1191.3501515151293,1629.8505555555457,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,4,0,3,0,0,0,0
26677542#1,1556.2618181818107,2096.292222222197,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
-26677416#3,1756.171818181785,2118.77888888889,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-129379921#0,1709.1518181817955,2419.2138888888876,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201950247#5,1784.1218181818258,1687.40388888889,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-22716072#5,777.2584848484548,723.0288888888899,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
-24634413#2,1814.3918181817862,1174.3348888888722,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-26677539,1711.756818181806,2011.27888888889,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0
-22716072#3,558.6430681818165,789.5538888889132,0,0,0,0,0,0,2,1,0,4,3,1,1,1,1,2,1,0,0,3,7,4,4,0,0,0,1,0,0,2,5,5,6,10,9,10,5,6,1,1,0,0,1,0,1,1,0,3,4,3
447569997#1,2021.9493181818107,2059.8438888888923,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
32999434#0,1898.8498181817995,1021.9608888889197,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,2,1,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
18813598#7,905.7173737373669,393.5788888888783,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,1,0,1,0,2,0,0,1,1,1,0,0,4,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0
22716549#0,1687.555818181805,855.1038888889016,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
:1863241632_4,503.0078181818244,1448.7828888889053,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-160314345#0,1672.8768181818305,1276.6388888889342,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,2,0,3,1,0,0,0,0,0,2,0,0,0
129379967#0,1666.506818181806,2410.513888888934,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25145011#0,1459.216818181827,546.3888888889342,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
-170018165#2.164,463.07181818183744,1541.4088888888946,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,2,0,0,1,0,0,0,0,1,0,0,2,0,1,1,0
-160314345#4,1997.2268181818072,1366.2988888889086,0,0,0,0,0,0,1,0,0,1,0,0,4,2,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,5,2,1,0,1,1,0
:320006200_5,1450.0078181818244,603.3408888889244,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26677216#3,1651.8618181818165,1657.782222222304,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,2,1,0
24634517#13,994.5646753246547,942.6617460317793,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:267783914_6,704.466818181827,908.7513888889225,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
379897807,1677.2784848484735,2468.518888888939,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
315358250#0,1665.9968181818258,2445.12388888892,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:267782472_0,1710.5478181818034,1524.672888888861,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
386687235,2090.7918181818095,1500.1948888889165,0,0,0,0,0,0,1,0,1,0,0,0,6,0,0,1,1,6,0,0,7,0,0,0,0,0,2,0,0,0,3,0,0,0,0,1,0,0,0,2,0,1,0,7,1,0,1,1,6,0
-201950263#6,1260.5162626262754,2163.041111111117,0,0,0,0,0,0,1,1,0,2,0,1,1,0,0,0,0,0,0,2,0,2,0,1,2,3,3,2,3,2,0,2,0,0,1,0,0,1,3,0,0,3,1,0,2,1,0,1,1,1
201201950#0,1542.20931818182,1499.583888888883,0,0,0,0,0,0,0,6,1,0,2,0,5,0,0,2,0,5,2,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,1,3,0,1,1,0,1,0,5,0,0,1,1,5,0
-24634411,1637.779318181827,1407.4863888889086,0,0,0,0,0,0,0,2,6,0,1,1,0,5,1,3,3,1,11,6,2,3,0,1,2,0,1,2,1,1,0,1,2,4,5,3,2,3,5,0,2,1,0,3,7,3,7,7,2,11
201201953#0,1455.411818181834,1501.155555555597,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,1,0,0,5,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5,0,0,2,1,6,0,1,1,0,0
201201953#2,1318.1268181818305,1442.7138888888876,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,2,1,2,0,1,1,0,4,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,2,2,0,1,0,5,1,0,1,0,4
201201950#1,1641.89681818182,1523.3313888889388,0,0,0,0,0,0,0,2,1,0,1,0,0,3,0,8,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,5,1,0,0,0,0,0
399835085#1,712.2703896103776,2159.6360317460494,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,1,0,0,0,0,3,0,1,0,0,4,0,0,5,0,3,0,0,1,0,1,1,0,1,0,0,0,0,2,1,0,0,0,0,0
:cluster_1840209209_268417350_3,1506.076818181813,1489.193888888869,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,2,0,0,1,0,2,0
28319300#3,892.3868181818107,1572.6788888889132,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
-129379922,1836.658484848478,2189.305555555562,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
402600768#1,2112.991818181821,1131.5938888888923,0,0,0,0,0,0,0,1,1,0,0,1,2,2,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,1,4,0,0,1,0,5,0,0,1,0,0
315358250#1,1671.1618181818048,2437.6988888888736,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
:cluster_1427494838_273472399_6,1685.7978181818034,2419.492888888868,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-53396619#6,1694.7518181818305,1730.2988888888503,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315392062#0,1744.470984848478,1164.5472222222597,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0
:267782465_0,1873.4998181817937,1350.3628888888634,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-10427692#5,518.5468181818142,1015.1888888889225,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
174800513,1506.631818181806,1505.1888888888643,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1
25145014#1,1141.64681818182,668.4938888889155,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-24634516#2,625.4451515151595,938.6488888888853,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-24693977#1,1826.529318181827,1004.6713888889062,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,5,0,2,0,0,0,0,1,1,1,1,2,1,5,4,11,5,4,10,1,1,1,1,3,0,3,1,2
386687239#1,1974.6651515151607,1502.6455555555876,0,0,0,0,0,0,0,1,1,0,1,5,6,2,6,1,4,4,2,5,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,2,0,3,1,0,0,2,0,0,0
:497590188_0,1402.2638181818184,1477.614888888842,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
-201238718#0,1580.4873737373855,1333.5066666666535,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,2,0,2,0,0,1,2,0,1,1,0,3,3,3,4,4,0,0,2,1,0,2,1,0,1,1,1,1,2
:497590188_1,1402.1618181818048,1475.3838888889295,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
51857517#0,2155.4618181818223,1141.4838888889062,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0
224892361#7,556.6684848484583,1477.3255555555806,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,0,1,0,2,2,0,0,0,0,2,0,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,0,3,1,0
201201953#12,597.8684848484991,1305.2988888889086,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,10,1,0,4
176550246,563.4468181818374,1302.1638888888992,0,0,0,0,0,0,0,1,0,2,3,0,3,2,1,2,0,1,0,0,0,0,2,3,0,1,0,1,3,1,2,0,1,1,0,0,0,0,1,0,2,3,0,2,0,2,3,0,3,0
-25117391#1,988.7143181817955,1983.0963888888946,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40888351#3,1886.1758181818295,2003.5848888888722,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
-128361102#1,190.6051515151339,961.3688888888573,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,7,1,0,0,0,0,0,0,1,0,6,1,0,6,0,3,1,0,3,0,1,0,0,1,0,0,2
:1840464393_2,2034.789818181831,1540.5428888888564,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0
51857517#0.33,2195.728484848485,1147.4988888889202,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0
653473569#0,1214.0518181818188,419.59388888889225,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:2769732343_2,1917.1478181818093,1532.2448888889048,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,2,0,0,0,0,0,0,0,0
40888360#0,1314.9780681818083,1580.1751388889388,0,0,0,0,0,0,0,1,0,0,5,0,1,0,0,0,1,2,1,1,3,0,5,1,0,5,0,3,1,0,0,0,0,0,2,0,0,5,0,2,5,0,9,1,3,5,0,2,0,4
24634413#0,1730.978484848485,1436.7155555555364,0,0,0,0,0,0,0,0,4,0,3,4,0,9,1,0,10,7,4,2,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,2,0,7,0,2,1,0,9,1,1,0,0,0
202092676#0,2021.4751515151293,1498.4622222222388,0,0,0,0,0,0,0,0,3,4,1,4,1,1,4,1,4,1,2,4,0,0,3,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,4,2,0,4,0,2,4,0,3,0,0
201201945#3,1211.395151515142,1752.1788888889132,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,1,0,0,0,4,0,1,4,0,1,0,0,0,0,0,0,0,0,0,1,0,2,2,0,2,0,3,1,2,0,0
51857516#1,2290.898484848469,1192.905555555597,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,2,0,2,0,0,1,0,0
:cluster_1863241547_1863241548_1976170214_9,547.9468181818083,1280.0338888888946,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3
201950247#8,1950.2484848484455,1667.2122222222388,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-315358257#0.26,925.3918181818153,1957.1188888889155,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164051413,1634.1718181818142,519.1638888888992,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0
:371774881_3,2318.71381818183,1217.1168888888787,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
:89127267_9,1893.4451515151595,2056.362222222204,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-201238724,1469.1878181818465,1377.3968888888485,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0
:497590084_5,1833.491818181792,1539.0468888888718,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24634509#1,1535.4680681818281,1008.0838888889411,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201201950#4,1867.2968181818142,1511.5638888888643,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
:267783861_3,1504.6368181818107,1120.1288888889248,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138300620#0,1051.3768181818014,1260.6928888888797,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0
201238730,565.8468181818025,1279.7288888889016,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-201950259#3,1277.4484848484863,1906.8805555555737,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,2,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
:1863241614_4,510.9378181817883,1430.3008888888871,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:497590082_6,2009.9818181818118,1674.7338888889062,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
201238729#3,306.1118181818165,1245.1826388888876,0,0,0,0,0,0,0,0,1,0,0,3,0,2,2,0,3,0,0,2,3,1,1,0,5,0,6,2,0,2,0,0,1,0,0,0,0,0,0,4,2,0,6,0,4,5,0,13,2,0
-24634516#1,533.7834848484781,971.002222222276,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:30624895_3,1926.0918181817979,1970.3938888888806,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18813598#2,610.5093181818083,297.52763888891786,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,1,1,0,1,0,0
-653473569#5,1586.9451515151595,517.4588888888829,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,3,1,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1
:3079046105_2,497.71681818179786,267.39888888888527,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:2330725114_4,382.6318181818351,1747.2248888888862,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
168702040#2,2194.841818181798,1173.5488888889086,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,4,0,4,0,2,0,1,0
-22724699#11,979.5151515151374,1501.4972222222132,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168702039#1,1979.7918181818095,1111.568888888869,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
612075153#1,849.826818181813,2024.6338888889295,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-160314345#1,1738.0568181818235,1302.5488888889086,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
